ValidTick,SignalDate,ScanDate,NScanDaysInterval,PriceAtSignal,LastClosingPrice,PriceEvolution,Company,Sector,Industry,D_plus2,priceD_plus2,priceD_plus2_evol
FRT-C,2020-12-16,2021-01-23,45,26.44,21.6,-18.31,,,,2020-12-18,26.5,0.23
EAI,2020-12-16,2021-01-23,45,26.18,22.13,-15.47,,,,2020-12-18,26.45,1.03
AZEK,2020-12-16,2021-01-23,45,38.44,31.2,-18.83,The AZEK Company Inc.,Industrials,Building Products & Equipment,2020-12-18,38.68,0.62
KALA,2020-12-16,2021-01-23,45,7.57,14.12,86.53,"Kala Pharmaceuticals, Inc.",Healthcare,Biotechnology,2020-12-18,7.54,-0.4
KDNY,2020-12-16,2021-01-23,45,19.2,40.28,109.79,"Chinook Therapeutics, Inc.",Healthcare,Biotechnology,2020-12-18,19.06,-0.73
RMAX,2020-12-16,2021-01-23,45,37.42,19.45,-48.02,"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,2020-12-18,37.74,0.86
TENX,2020-12-16,2021-01-23,45,1.05,0.29,-72.38,"Tenax Therapeutics, Inc.",Healthcare,Biotechnology,2020-12-18,1.04,-0.95
AEFC,2020-12-16,2021-01-23,45,26.79,21.09,-21.28,,,,2020-12-18,26.8,0.04
ADMA,2020-12-16,2021-01-23,45,2.06,4.05,96.6,"ADMA Biologics, Inc.",Healthcare,Biotechnology,2020-12-18,2.06,0.0
AGRX,2020-12-16,2021-01-23,45,2.9,2.76,-4.83,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2020-12-18,2.9,0.0
AMTI,2020-12-16,2021-01-23,45,32.14,0.3,-99.07,Applied Molecular Transport Inc.,Healthcare,Biotechnology,2020-12-18,31.73,-1.28
CYCN,2020-12-16,2021-01-23,45,3.15,3.33,5.71,"Cyclerion Therapeutics, Inc.",Healthcare,Biotechnology,2020-12-18,3.22,2.22
